type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,1.5092787742614746,0,12470,26
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid45$|^nodeid1$|^nodeid59$;FinalNodeRegex:nodeid44;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,44.7121787071228,4,12470,22
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid44$|^nodeid1$|^nodeid59$;FinalNodeRegex:nodeid45;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,40.80483388900757,8,12470,18
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid44$|^nodeid45$|^nodeid59$;FinalNodeRegex:nodeid1;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,46.85057854652405,12,12470,14
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid44$|^nodeid45$|^nodeid1$;FinalNodeRegex:nodeid59;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,40.51513624191284,16,12470,10
reachability,Type:reachability;IngressNodeRegex:^nodeid44$|^nodeid45$|^nodeid1$|^nodeid59$;FinalNodeRegex:nodeid31;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,43.07914185523987,20,12470,6
loadbalancing,Type:loadbalancing;IngressNodeRegex:^nodeid59$|^nodeid31$;FinalNodeRegex:nodeid45;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,2.0,['nodeid31'],"[""('nodeid31', 'nodeid13')"", ""('nodeid31', 'nodeid49')"", ""('nodeid56', 'puertorico')""]",1.0,1.114511251449585,20,12471,5
loadbalancing,Type:loadbalancing;IngressNodeRegex:^nodeid59$;FinalNodeRegex:nodeid45;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['nodeid59'],"[""('nodeid31', 'nodeid13')"", ""('nodeid31', 'nodeid44')"", ""('nodeid44', 'nodeid45')""]",1.0,1.3660492897033691,20,12472,4
loadbalancing,Type:loadbalancing;IngressNodeRegex:^nodeid59$;FinalNodeRegex:nodeid1;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['nodeid59'],"[""('nodeid9', 'costarica')"", ""('nodeid0', 'nodeid1')"", ""('bahamas', 'nodeid59')""]",1.0,1.1739270687103271,20,12473,3
loadbalancing,Type:loadbalancing;IngressNodeRegex:^nodeid31$;FinalNodeRegex:nodeid59;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:4;,wrong,1.0,['nodeid31'],"[""('panama', 'nodeid34')"", ""('nodeid0', 'nodeid27')"", ""('nodeid34', 'nodeid1')""]",1.0,1.2259678840637207,20,12474,2
loadbalancing,Type:loadbalancing;IngressNodeRegex:^nodeid44$;FinalNodeRegex:nodeid59;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:3;,wrong,1.0,['nodeid44'],"[""('nodeid7', 'venezuela')"", ""('dominicanrepublic', 'nodeid39')"", ""('nodeid45', 'bahamas')""]",1.0,1.294490098953247,20,12475,1
loadbalancing,Type:loadbalancing;IngressNodeRegex:^nodeid45$;FinalNodeRegex:nodeid31;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['nodeid45'],"[""('venezuela', 'curacao')"", ""('nodeid22', 'nodeid24')"", ""('nodeid31', 'nodeid49')""]",1.0,1.725994348526001,20,12476,0
